                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.86731,                0.57376,                 1.0089,                0.89383,                0.76471,                0.88553,                0.45604,                  1.669,                0.94143,                 1.5408,               0.006502,               0.006502,               0.006502
                     55,                0.82014,                0.53432,                0.98931,                0.85635,                0.88235,                0.93183,                0.47416,                 1.6584,                0.78119,                   1.51,               0.006436,               0.006436,               0.006436
                     56,                0.81172,                0.53953,                0.98284,                  0.746,                0.82065,                0.85883,                0.46061,                 1.5841,                0.90414,                 1.5219,                0.00637,                0.00637,                0.00637
                     57,                0.83843,                0.53329,                0.98739,                0.79073,                0.77941,                0.81649,                0.46573,                 1.5766,                0.89678,                 1.5378,               0.006304,               0.006304,               0.006304
                     58,                 0.8264,                0.55044,                0.99414,                0.89203,                0.72905,                0.85963,                0.46111,                 1.5863,                 0.9072,                 1.5145,               0.006238,               0.006238,               0.006238
                     59,                0.79935,                0.51908,                0.97871,                0.92205,                0.80882,                0.89692,                0.46702,                 1.5717,                 0.8157,                 1.5265,               0.006172,               0.006172,               0.006172
                     60,                0.80448,                0.52577,                0.98212,                 0.8843,                0.78681,                0.88249,                 0.4973,                 1.5486,                0.81631,                 1.4466,               0.006106,               0.006106,               0.006106
                     61,                0.78169,                0.49865,                0.97351,                0.86818,                 0.7749,                 0.8533,                0.46789,                 1.5607,                0.88933,                 1.4887,                0.00604,                0.00604,                0.00604
                     62,                0.78463,                0.51592,                0.96972,                0.92912,                 0.7711,                0.86073,                 0.4775,                 1.5917,                0.79987,                 1.4806,               0.005974,               0.005974,               0.005974
                     63,                0.76786,                0.51073,                0.95722,                0.85918,                0.82353,                 0.8638,                0.50181,                 1.4526,                0.77346,                   1.45,               0.005908,               0.005908,               0.005908
                     64,                0.79027,                0.52736,                0.97572,                0.89118,                0.84312,                0.87514,                0.45974,                 1.6607,                0.86877,                  1.551,               0.005842,               0.005842,               0.005842
                     65,                0.75683,                0.48876,                0.95355,                0.89247,                0.73238,                0.84034,                0.45097,                 1.6448,                0.98599,                 1.5435,               0.005776,               0.005776,               0.005776
                     66,                0.75555,                0.48664,                0.96123,                 0.9123,                0.77941,                0.85645,                0.45722,                 1.6228,                0.94102,                 1.5633,                0.00571,                0.00571,                0.00571
                     67,                0.75838,                0.49298,                0.96314,                0.86988,                0.79412,                0.86821,                0.46027,                 1.5407,                0.85266,                 1.4669,               0.005644,               0.005644,               0.005644
                     68,                0.73559,                0.49274,                 0.9523,                0.89901,                0.78554,                0.89572,                0.48697,                 1.5918,                0.82521,                 1.5027,               0.005578,               0.005578,               0.005578
                     69,                0.75731,                 0.5021,                 0.9615,                0.92094,                0.85294,                0.91368,                0.49934,                 1.5524,                0.82282,                 1.4883,               0.005512,               0.005512,               0.005512
                     70,                0.72573,                0.47107,                0.95176,                0.82405,                 0.8265,                0.87021,                0.51017,                 1.4944,                0.80169,                 1.4417,               0.005446,               0.005446,               0.005446
                     71,                0.70835,                0.48556,                 0.9414,                0.86126,                0.82164,                0.87996,                0.48118,                 1.5761,                0.97552,                 1.5142,                0.00538,                0.00538,                0.00538
                     72,                0.74398,                0.48103,                0.95717,                0.94885,                0.82353,                0.90577,                0.50785,                 1.5061,                0.80251,                  1.479,               0.005314,               0.005314,               0.005314
                     73,                0.74188,                0.47286,                0.95168,                0.88633,                0.85294,                0.87356,                0.47177,                 1.5626,                0.81795,                 1.5326,               0.005248,               0.005248,               0.005248
                     74,                0.71765,                0.48478,                0.94985,                0.89187,                0.79412,                0.87604,                0.47999,                  1.606,                0.81005,                 1.5449,               0.005182,               0.005182,               0.005182
                     75,                  0.695,                0.45053,                0.94253,                0.91109,                0.80882,                0.85718,                0.44467,                  1.721,                0.93727,                 1.6039,               0.005116,               0.005116,               0.005116
                     76,                0.71909,                0.47845,                0.95624,                0.91654,                0.80751,                0.86496,                0.45598,                 1.6761,                0.99015,                 1.6192,                0.00505,                0.00505,                0.00505
                     77,                 0.6881,                0.44281,                0.91838,                0.86635,                0.79412,                0.85727,                0.47393,                 1.6162,                0.89068,                 1.5929,               0.004984,               0.004984,               0.004984
                     78,                0.69863,                  0.465,                 0.9322,                0.87417,                0.85294,                0.89347,                0.46762,                 1.6661,                0.84121,                 1.5662,               0.004918,               0.004918,               0.004918
                     79,                0.68224,                0.45476,                0.93847,                0.88829,                0.81858,                0.87916,                0.47812,                 1.5782,                0.83128,                 1.4956,               0.004852,               0.004852,               0.004852
                     80,                0.67377,                0.45318,                0.93991,                0.83506,                0.83824,                0.87248,                0.49453,                 1.5904,                0.75478,                  1.538,               0.004786,               0.004786,               0.004786
                     81,                 0.6705,                0.44766,                0.92601,                 0.9086,                0.85294,                0.91757,                0.51023,                 1.5499,                0.73713,                 1.5023,                0.00472,                0.00472,                0.00472
                     82,                0.68044,                0.45769,                0.92851,                0.85928,                0.80882,                 0.8621,                0.48856,                 1.6078,                 0.8621,                 1.5394,               0.004654,               0.004654,               0.004654
